player_id,team_id,player_name,position,assists,attempts_on_target,attempts_at_goal,attempts_at_goal_conv_rate,attempts_inside_penalty,attempts_outside_penalty,headed_attempts_at_goal,xg,xg_efficiency,corners
826,19,Michael Olise,FW,5,5,17,0,8,9,0,1.84,0x,24
782,32,Martin Odegaard,MF,4,3,9,0,5,4,0,0.72,0x,12
190,29,Brahim Diaz,FW,4,1,6,0,4,2,0,0.31,0x,1
712,2,Lionel Messi,FW,4,19,34,24,16,18,0,6.16,1.3x,34
204,7,Bruno Guimaraes,MF,4,2,8,0,5,3,1,1.02,0x,8
1034,28,Roberto Alvarado,FW,3,0,5,0,2,3,0,0.28,0x,14
123,18,Anthony Gordon,FW,3,4,6,17,6,0,2,0.7,1.43x,0
685,19,Kylian Mbappe,FW,3,19,33,24,21,12,0,5.37,1.49x,4
205,18,Bukayo Saka,FW,3,3,8,0,7,1,1,0.5,0x,4
108,32,Andreas Schjelderup,MF,3,2,3,33,3,0,0,0.2,5.12x,0
396,20,Florian Wirtz,MF,3,1,10,0,5,5,0,0.97,0x,5
61,42,Alexander Isak,FW,3,6,8,13,5,3,1,0.68,1.48x,0
757,41,Marc Cucurella,DF,2,3,4,0,3,1,1,0.3,0x,0
265,41,Dani Olmo,FW,2,1,11,0,6,5,1,0.76,0x,0
573,43,Johan Manzambi,MF,2,3,6,50,4,2,0,0.63,4.73x,0
1184,42,Viktor Gyokeres,FW,2,6,12,8,9,3,0,1.39,0.72x,0
241,31,Chris Wood,FW,2,2,5,0,3,2,2,0.47,0x,0
195,43,Breel Embolo,FW,2,5,10,20,8,2,2,2.58,0.78x,0
920,5,Nicolas Raskin,MF,2,1,2,0,2,0,1,0.13,0x,0
293,20,Deniz Undav,FW,2,4,6,50,5,1,0,1.43,2.1x,0
459,5,Hans Vanaken,MF,2,1,5,20,4,1,0,0.64,1.56x,0
1059,30,Ryan Gravenberch,MF,2,0,5,0,2,3,0,0.25,0x,0
964,19,Ousmane Dembele,FW,2,8,18,28,11,7,1,1.6,3.13x,17
296,30,Denzel Dumfries,DF,2,2,5,0,4,1,2,0.44,0x,0
606,20,Joshua Kimmich,DF,2,1,5,0,1,4,0,0.15,0x,15
256,30,Crysencio Summerville,FW,2,2,2,100,1,1,0,0.16,12.33x,3
977,32,Patrick Berg,MF,2,0,3,0,0,3,0,0.29,0x,10
696,5,Leandro Trossard,FW,2,4,17,12,10,7,0,1.67,1.2x,0
478,1,Houssem Aouar,MF,2,1,3,0,1,2,0,0.24,0x,0
625,34,Julio Enciso,FW,2,1,8,13,6,2,1,0.74,1.36x,2
898,9,Nathan Saliba,MF,2,1,3,33,1,2,1,0.3,3.36x,0
18,29,Achraf Hakimi,DF,2,4,14,7,6,8,0,0.96,1.04x,21
458,44,Hannibal Mejbri,MF,2,1,3,0,0,3,0,0.06,0x,4
853,17,Mohamed Salah,FW,2,4,9,11,7,2,1,0.95,1.05x,15
495,39,Iliman Ndiaye,FW,2,2,3,33,2,1,0,0.21,4.76x,0
849,17,Mohamed Hany,DF,1,0,4,0,0,4,0,0.09,0x,0
878,17,Mostafa Zico,MF,1,3,8,25,7,1,2,1.1,1.82x,0
1197,12,Wilfried Singo,DF,1,0,2,0,2,0,0,0.14,0x,0
1063,39,Sadio Mane,FW,1,3,6,0,4,2,0,0.58,0x,1
364,21,Ernest Nuamah,FW,1,0,0,0,0,0,0,0,0x,0
230,29,Chadi Riad,DF,1,0,1,0,1,0,1,0.12,0x,0
1000,9,Promise David,FW,1,3,5,20,3,2,1,0.75,1.34x,0
882,39,Moussa Niakhate,DF,1,0,1,0,1,0,1,0.06,0x,0
541,22,Jean Kevin Duverne,DF,1,0,1,0,1,0,0,0.03,0x,0
917,39,Nicolas Jackson,FW,1,3,7,0,6,1,2,0.56,0x,0
