player_id,team_id,player_name,position,own_goals,forced_turnovers,defensive_pressures_applied,defensive_pressures_directly_applied
849,17,Mohamed Hany,DF,2,10,90,11
1216,29,Yassine Bounou,GK,1,0,0,0
344,44,Ellyes Skhiri,MF,1,10,40,10
262,34,Damian Bobadilla,MF,1,5,95,22
745,36,Mahmoud Abunada,GK,1,0,0,0
464,37,Hassan Altambakti,DF,1,5,26,7
852,36,Mohamed Manai,FW,1,2,52,3
1218,26,Yazan Alarab,DF,1,10,28,16
156,23,Aymen Hussein,FW,1,5,60,3
305,8,Diney Borges,DF,1,5,29,16
840,43,Miro Muheim,DF,1,3,16,1
210,3,Cameron Burgess,DF,1,2,14,9
17,48,Abduvohid Nematov,GK,1,0,0,0
554,31,Jesse Randall,FW,0,3,15,2
243,43,Christian Fassnacht,FW,0,0,8,2
1055,43,Ruben Vargas,FW,0,14,94,19
355,43,Eray Coemert,DF,0,1,9,1
134,43,Ardon Jashari,MF,0,3,33,4
785,43,Marvin Keller,GK,0,0,0,0
147,43,Aurele Amenda,DF,0,0,0,0
264,43,Dan Ndoye,FW,0,32,141,20
1235,43,Zeki Amdouni,FW,0,3,49,8
573,43,Johan Manzambi,MF,0,14,102,13
720,43,Luca Jaquez,DF,0,3,15,4
439,43,Gregor Kobel,GK,0,0,0,0
632,45,Kaan Ayhan,MF,0,0,1,1
224,43,Cedric Itten,FW,0,4,27,6
820,45,Mert Gunok,GK,0,0,0,0
454,45,Hakan Calhanoglu,MF,0,11,28,5
372,43,Fabian Rieder,MF,0,19,210,30
1071,45,Salih Ozcan,MF,0,5,33,12
206,45,Caglar Soyuncu,DF,0,0,1,1
830,43,Michel Aebischer,MF,0,8,52,6
1229,45,Yunus Akgun,FW,0,3,12,4
309,43,Djibril Sow,MF,0,8,54,5
968,45,Ozan Kabak,DF,0,3,10,7
821,45,Mert Muldur,DF,0,1,10,5
753,43,Manuel Akanji,DF,0,15,44,21
1236,45,Zeki Celik,DF,0,5,35,9
956,45,Orkun Kokcu,MF,0,7,37,9
1231,43,Yvon Mvogo,GK,0,0,0,0
819,45,Merih Demiral,DF,0,3,9,3
1023,43,Remo Freuler,MF,0,27,193,31
92,45,Altay Bayindir,GK,0,0,0,0
1177,45,Ugurcan Cakir,GK,0,0,0,0
291,43,Denis Zakaria,MF,0,19,63,23
652,45,Kerem Akturkoglu,FW,0,10,38,2
499,45,Irfan Can Kahveci,FW,0,0,4,1
910,43,Nico Elvedi,DF,0,8,48,12
356,45,Eren Elmali,DF,0,4,26,3
195,43,Breel Embolo,FW,0,40,177,25
1074,45,Samet Akaydin,DF,0,0,0,0
13,45,Abdulkerim Bardakci,DF,0,3,27,12
1109,43,Silvan Widmer,DF,0,11,59,13
133,45,Arda Guler,FW,0,12,62,7
507,45,Ismail Yuksek,MF,0,16,34,13
1028,43,Ricardo Rodriguez,DF,0,24,60,16
647,45,Kenan Yildiz,FW,0,7,32,5
437,43,Granit Xhaka,MF,0,28,116,18
386,45,Ferdi Kadioglu,DF,0,0,16,7
172,45,Baris Alper Yilmaz,FW,0,24,37,5
343,42,Elliot Stroud,DF,0,9,61,7
213,45,Can Uzun,FW,0,4,9,3
946,45,Oguz Aydin,FW,0,3,24,9
469,42,Herman Johansson,DF,0,0,0,0
292,45,Deniz Gul,FW,0,0,5,0
1129,42,Taha Ali,FW,0,4,15,0
792,3,Mathew Leckie,FW,0,2,30,4
982,3,Paul Izzo,GK,0,0,0,0
183,42,Besfort Zeneli,MF,0,3,35,7
839,3,Milos Degenek,DF,0,0,0,0
537,3,Jason Geria,DF,0,1,21,3
180,42,Benjamin Nygren,MF,0,4,71,13
793,3,Mathew Ryan,GK,0,0,0,0
60,42,Alexander Bernhardsson,DF,0,14,81,9
164,3,Aziz Behich,DF,0,9,55,7
518,3,Jackson Irvine,MF,0,7,80,11
359,42,Eric Smith,DF,0,0,0,0
39,3,Ajdin Hrustic,FW,0,5,40,2
268,42,Daniel Svensson,DF,0,8,24,3
151,3,Awer Mabil,FW,0,1,20,0
445,42,Gustaf Nilsson,FW,0,0,3,0
586,3,Jordan Bos,DF,0,23,84,21
211,3,Cameron Devlin,MF,0,0,0,0
722,42,Lucas Bergvall,MF,0,10,60,13
35,3,Aiden Oneill,MF,0,25,105,15
462,3,Harry Souttar,DF,0,4,18,6
1213,42,Yasin Ayari,MF,0,21,100,22
520,3,Jacob Italiano,DF,0,6,83,14
249,3,Connor Metcalfe,MF,0,28,180,11
522,42,Jacob Widell Zetterstrom,GK,0,0,0,0
50,3,Alessandro Circati,DF,0,12,48,28
1184,42,Viktor Gyokeres,FW,0,14,75,4
254,3,Cristian Volpato,FW,0,11,64,4
905,3,Nestory Irankunda,FW,0,13,116,3
473,42,Hjalmar Ekdal,DF,0,0,0,0
930,3,Nishan Velupillay,FW,0,1,57,4
634,3,Kai Trewin,DF,0,7,22,4
500,42,Isak Hien,DF,0,13,13,8
976,3,Patrick Beach,GK,0,0,0,0
444,42,Gustaf Lagerbielke,DF,0,8,50,14
983,3,Paul Okon Engstler,MF,0,9,78,5
854,3,Mohamed Toure,FW,0,3,86,5
408,42,Gabriel Gudmundsson,DF,0,13,58,14
725,3,Lucas Herrington,DF,0,4,11,4
1140,3,Tete Yengi,FW,0,1,17,2
1185,42,Viktor Johansson,GK,0,0,0,0
824,31,Michael Boxall,DF,0,4,21,12
122,42,Anthony Elanga,FW,0,10,31,1
677,31,Kosta Barbarouses,FW,0,0,0,0
241,31,Chris Wood,FW,0,8,88,5
553,42,Jesper Karlstrom,MF,0,7,38,7
1154,31,Tim Payne,DF,0,5,57,9
215,42,Carl Starfelt,DF,0,0,0,0
1061,31,Ryan Thomas,MF,0,2,50,7
803,42,Mattias Svanberg,MF,0,0,5,1
806,31,Max Crocombe,GK,0,0,0,0
57,31,Alex Rufer,MF,0,0,0,0
61,42,Alexander Isak,FW,0,5,110,15
569,31,Joe Bell,MF,0,27,98,22
209,31,Callum Mccowatt,MF,0,9,55,11
646,42,Ken Sema,MF,0,2,5,2
717,31,Logan Rogerson,FW,0,0,0,0
1182,42,Victor Lindelof,DF,0,5,24,10
1086,31,Sarpreet Singh,MF,0,10,104,7
828,31,Michael Woud,GK,0,0,0,0
683,42,Kristoffer Nordfeldt,GK,0,0,0,0
340,31,Elijah Just,MF,0,19,152,18
711,31,Liberato Cacace,DF,0,9,59,8
1183,41,Victor Munoz,FW,0,0,0,0
759,41,Marc Pubill,DF,0,0,0,0
208,31,Callan Elliot,DF,0,0,4,1
893,31,Nando Pijnaker,DF,0,0,0,0
562,41,Joan Garcia,GK,0,0,0,0
178,31,Ben Waine,FW,0,0,0,0
689,41,Lamine Yamal,FW,0,17,116,24
56,31,Alex Paulsen,GK,0,0,0,0
177,31,Ben Old,MF,0,2,28,4
981,41,Pau Cubarsi,DF,0,11,28,11
776,31,Marko Stamenic,MF,0,10,67,18
398,31,Francis De Vries,DF,0,1,5,1
416,41,Gavi,MF,0,4,33,8
391,31,Finn Surman,DF,0,5,28,11
185,41,Borja Iglesias,FW,0,0,4,0
1173,31,Tyler Bindon,DF,0,4,13,4
686,31,Lachlan Bayliss,MF,0,0,0,0
53,41,Alex Baena,MF,0,22,131,21
1190,15,Vladimir Darida,MF,0,10,34,1
915,41,Nico Williams,FW,0,7,33,1
927,6,Nikola Vasilj,GK,0,0,0,0
980,15,Patrik Schick,FW,0,7,74,4
1163,15,Tomas Soucek,MF,0,4,42,5
280,41,David Raya,GK,0,0,0,0
829,15,Michal Sadilek,MF,0,10,75,4
22,15,Adam Hlozek,FW,0,6,92,7
784,41,Martin Zubimendi,MF,0,0,0,0
281,15,David Zima,DF,0,0,4,1
1179,41,Unai Simon,GK,0,0,0,0
559,15,Jindrich Stanek,GK,0,0,0,0
536,15,Jaroslav Zeleny,DF,0,6,36,3
836,41,Mikel Oyarzabal,FW,0,53,236,13
1161,15,Tomas Holes,DF,0,8,37,7
