player_id,team_id,player_name,position,fouls_against,fouls_for,yellow_cards,red_cards,indirect_red_cards,offsides
903,29,Neil El Aynaoui,MF,15,7,0,0,0,0
111,34,Andres Cubas,MF,14,3,1,0,0,0
49,20,Aleksandar Pavlovic,MF,13,4,1,0,0,0
920,5,Nicolas Raskin,MF,12,3,0,0,0,0
689,41,Lamine Yamal,FW,12,8,0,0,0,7
1028,43,Ricardo Rodriguez,DF,11,2,0,0,0,0
362,6,Ermedin Demirovic,FW,11,3,1,0,0,1
24,19,Adrien Rabiot,MF,11,3,1,0,0,1
1029,10,Richard Rios,MF,10,4,1,0,0,0
797,34,Matias Galarza,MF,10,9,2,0,0,0
253,2,Cristian Romero,DF,9,3,1,0,0,0
448,10,Gustavo Puerta,DF,9,8,1,0,0,0
614,34,Juan Jose Caceres,DF,9,6,1,0,0,0
267,10,Daniel Munoz,DF,9,1,0,0,0,3
353,2,Enzo Fernandez,MF,9,5,0,0,0,1
342,18,Elliot Anderson,MF,9,13,1,0,0,0
193,5,Brandon Mechele,DF,9,2,1,0,0,0
619,18,Jude Bellingham,MF,9,16,1,0,0,1
1151,5,Thomas Meunier,DF,9,0,0,0,0,0
195,43,Breel Embolo,FW,9,11,2,1,1,4
1039,41,Rodri,MF,9,6,0,0,0,1
53,41,Alex Baena,MF,9,7,1,0,0,2
1023,43,Remo Freuler,MF,8,3,0,0,0,1
462,3,Harry Souttar,DF,8,1,1,0,0,0
175,48,Behruzjon Karimov,DF,8,4,0,0,0,0
337,48,Eldor Shomurodov,FW,8,4,0,0,0,1
218,33,Carlos Harvey,DF,8,3,1,0,0,0
1195,46,Weston Mckennie,MF,8,2,1,0,0,0
691,2,Lautaro Martinez,FW,8,5,1,0,0,2
622,2,Julian Alvarez,FW,8,3,0,0,0,2
240,46,Chris Richards,DF,8,3,1,0,0,0
1078,11,Samuel Moutoussamy,MF,8,1,1,0,0,0
505,29,Ismael Saibari,MF,8,3,0,0,0,3
719,9,Luc De Fougerolles,DF,8,8,2,0,0,0
1030,9,Richie Laryea,DF,8,13,1,0,0,1
756,17,Marawan Attia,MF,8,1,2,0,0,0
461,18,Harry Kane,FW,8,9,0,0,0,2
277,32,David Moller Wolfe,DF,7,2,0,0,0,0
1156,5,Timothy Castagne,DF,7,2,1,0,0,0
809,5,Maxim De Cuyper,DF,7,2,1,0,0,0
994,13,Petar Sucic,MF,7,6,1,0,0,1
1224,5,Youri Tielemans,MF,7,10,0,0,0,1
370,18,Ezri Konsa,DF,7,11,0,0,0,0
1120,4,Stefan Posch,DF,7,3,2,0,0,0
699,27,Lee Hanbeom,DF,7,3,0,0,0,0
1065,24,Saeid Ezatolahi,MF,7,4,2,0,0,0
538,36,Jassem Gaber,DF,7,0,1,0,0,0
472,25,Hiroki Ito,DF,7,0,0,0,0,0
894,37,Nasser Aldawsari,MF,7,2,1,0,0,0
722,42,Lucas Bergvall,MF,7,4,1,0,0,0
990,41,Pedro Porro,DF,7,6,0,0,0,0
757,41,Marc Cucurella,DF,7,2,1,0,0,3
514,6,Ivan Sunjic,MF,7,0,0,0,0,0
269,7,Danilo,DF,7,1,2,0,0,1
25,47,Agustin Canobbio,MF,7,5,0,1,0,1
732,10,Luis Suarez,FW,7,8,1,0,0,1
44,16,Alan Franco,MF,7,0,2,0,0,0
1013,28,Raul Jimenez,FW,7,2,0,0,0,2
1041,47,Rodrigo Bentancur,MF,7,5,1,0,0,0
555,28,Jesus Gallardo,DF,7,3,0,0,0,0
729,10,Luis Diaz,FW,7,9,0,0,0,9
401,12,Franck Kessie,MF,7,2,1,0,0,1
18,29,Achraf Hakimi,DF,7,16,1,0,0,0
585,21,Jordan Ayew,FW,7,7,0,0,0,1
781,22,Martin Experience,DF,7,6,0,0,0,0
207,21,Caleb Yirenkyi,MF,7,3,2,0,0,0
684,21,Kwasi Sibo,MF,7,1,0,0,0,0
440,12,Guela Doue,DF,6,5,1,0,0,0
127,21,Antoine Semenyo,MF,6,4,0,0,0,4
1214,17,Yasser Ibrahim,DF,6,3,2,0,0,0
1025,22,Ricardo Ade,DF,6,4,0,0,0,0
786,21,Marvin Senaya,DF,6,4,0,0,0,0
703,22,Lenny Joseph,FW,6,1,0,0,0,0
878,17,Mostafa Zico,MF,6,5,0,0,0,2
4,48,Abbosbek Fayzullaev,MF,6,4,0,0,0,0
687,15,Ladislav Krejci,DF,6,2,1,0,0,0
1091,6,Sead Kolasinac,DF,6,4,0,0,0,0
1035,15,Robin Hranac,DF,6,0,0,0,0,0
8,48,Abdukodir Khusanov,DF,6,0,2,0,0,0
1055,43,Ruben Vargas,FW,6,6,0,0,0,2
97,6,Amar Dedic,DF,6,3,1,0,0,0
65,32,Alexander Sorloth,FW,6,2,0,0,0,2
624,32,Julian Ryerson,FW,6,1,0,0,0,0
1052,35,Ruben Dias,DF,6,3,1,0,0,0
121,13,Ante Budimir,FW,6,4,0,0,0,0
912,18,Nico Oreilly,DF,6,4,1,0,0,0
896,5,Nathan Ngoy,DF,6,1,0,1,0,0
296,30,Denzel Dumfries,DF,6,3,0,0,0,1
752,19,Manu Kone,MF,6,7,1,0,0,0
1206,4,Xaver Schlager,MF,6,0,0,0,0,0
284,19,Dayot Upamecano,DF,6,4,0,0,0,0
676,4,Konrad Laimer,MF,6,3,1,0,0,3
406,30,Frenkie De Jong,MF,6,6,0,0,0,0
1080,32,Sander Berge,MF,6,2,0,0,0,0
563,35,Joao Cancelo,DF,6,2,0,0,0,1
621,19,Jules Kounde,DF,6,5,0,0,0,1
685,19,Kylian Mbappe,FW,6,9,1,0,0,5
154,25,Ayase Ueda,FW,6,4,0,0,0,1
132,25,Ao Tanaka,MF,6,2,0,0,0,0
1032,25,Ritsu Doan,MF,6,5,0,0,0,0
1016,1,Rayan Ait Nouri,DF,6,4,0,0,0,0
714,2,Lisandro Martinez,DF,6,4,1,0,0,0
282,10,Davinson Sanchez,DF,6,5,1,0,0,1
429,2,Giuliano Simeone,FW,6,1,0,0,0,1
69,2,Alexis Mac Allister,MF,6,10,0,0,0,0
546,10,Jefferson Lerma,MF,6,5,1,0,0,0
220,7,Casemiro,MF,6,6,2,0,0,0
626,14,Juninho Bacuna,MF,6,3,2,0,0,0
1137,6,Tarik Muharemovic,DF,5,2,0,1,0,0
1059,30,Ryan Gravenberch,MF,5,3,0,0,0,0
1024,35,Renato Veiga,DF,5,3,2,0,0,0
361,32,Erling Haaland,FW,5,3,0,0,0,0
405,32,Fredrik Aursnes,MF,5,3,0,0,0,0
873,18,Morgan Rogers,MF,5,3,0,0,0,2
767,18,Marcus Rashford,FW,5,1,0,0,0,1
831,30,Micky Van De Ven,DF,5,1,1,0,0,0
525,20,Jamal Musiala,MF,5,11,1,0,0,0
723,19,Lucas Digne,DF,5,2,0,0,0,0
584,20,Jonathan Tah,DF,5,1,0,0,0,0
928,13,Nikola Vlasic,MF,5,0,0,0,0,2
853,17,Mohamed Salah,FW,5,13,0,0,0,1
924,9,Niko Sigur,DF,5,1,1,0,0,0
1119,40,Sphephelo Sithole,MF,5,1,0,1,0,0
582,9,Jonathan David,FW,5,5,1,0,0,0
1132,9,Tajon Buchanan,FW,5,8,0,0,0,2
216,22,Carlens Arcus,DF,5,3,1,0,0,2
866,17,Mohanad Lashin,MF,5,3,2,0,0,0
258,9,Cyle Larin,FW,5,1,2,0,0,3
1118,29,Soufiane Rahimi,FW,5,6,0,0,0,2
1135,9,Tani Oluwaseyi,FW,5,5,0,0,0,1
271,22,Danley Jean Jacques,MF,5,3,1,0,0,0
898,9,Nathan Saliba,MF,5,2,1,0,0,0
89,9,Alistair Johnston,DF,5,4,1,0,0,0
658,8,Kevin Pina,MF,5,3,1,0,0,0
403,22,Frantzdy Pierrot,FW,5,4,1,0,0,2
184,29,Bilal El Khannouss,MF,5,5,1,0,0,0
688,39,Lamine Camara,MF,5,3,1,0,0,0
388,41,Ferran Torres,FW,5,2,1,0,0,2
708,38,Lewis Ferguson,MF,5,10,0,0,0,0
309,43,Djibril Sow,MF,5,4,0,0,0,0
264,43,Dan Ndoye,FW,5,16,0,0,0,4
408,42,Gabriel Gudmundsson,DF,5,7,1,0,0,0
14,48,Abdulla Abdullaev,DF,5,1,0,0,0,0
693,38,Lawrence Shankland,FW,5,3,0,0,0,1
265,41,Dani Olmo,FW,5,8,0,0,0,0
50,3,Alessandro Circati,DF,5,4,1,0,0,0
835,41,Mikel Merino,MF,5,5,0,0,0,0
910,43,Nico Elvedi,DF,5,6,1,0,0,0
1235,43,Zeki Amdouni,FW,5,4,0,0,0,0
598,33,Jose Cordoba,DF,5,1,0,0,0,0
303,34,Diego Gomez,MF,5,1,2,0,0,0
435,16,Gonzalo Plata,FW,5,4,1,0,0,0
251,33,Cristian Martinez,MF,5,5,0,0,0,1
558,10,Jhon Lucumi,DF,5,0,1,0,0,0
332,28,Edson Alvarez,DF,5,2,1,0,0,0
1027,46,Ricardo Pepi,FW,5,2,0,0,0,2
623,28,Julian Quinones,FW,5,7,0,0,0,1
998,16,Piero Hincapie,DF,5,4,1,1,0,0
869,16,Moises Caicedo,MF,5,4,1,0,0,0
1015,7,Rayan,FW,5,4,0,0,0,1
1092,46,Sebastian Berhalter,MF,5,7,1,0,0,0
695,2,Leandro Paredes,MF,5,2,1,0,0,0
593,28,Jorge Sanchez,DF,5,1,1,0,0,1
556,10,Jhon Arias,MF,5,2,1,0,0,0
200,28,Brian Gutierrez,MF,5,3,1,0,0,0
1172,46,Tyler Adams,MF,5,6,1,0,0,0
1134,25,Takehiro Tomiyasu,DF,5,2,0,0,0,0
850,37,Mohamed Kanno,MF,5,0,1,0,0,0
1223,11,Yoane Wissa,FW,5,9,0,0,0,1
330,11,Edo Kayembe,MF,5,3,0,0,0,0
931,26,Nizar Alrashdan,MF,5,4,0,0,0,0
746,26,Mahmoud Almardi,FW,4,2,0,0,0,0
329,36,Edmilson Junior,FW,4,2,0,0,0,1
1088,37,Saud Abdulhamid,DF,4,2,1,0,0,0
1218,26,Yazan Alarab,DF,4,0,1,0,0,0
899,11,Nathanael Mbuku,MF,4,8,1,0,0,0
1105,24,Shoja Khalilzadeh,DF,4,0,1,0,0,1
1007,1,Ramiz Zerrouki,MF,4,0,1,0,0,0
530,8,Jamiro Monteiro,MF,4,2,0,0,0,0
471,1,Hicham Boudaoui,MF,4,1,1,0,0,0
1202,8,Willy Semedo,MF,4,2,0,0,0,0
474,36,Homam Ahmed,DF,4,0,0,1,0,0
635,25,Kaishu Sano,MF,4,1,1,0,0,0
1004,1,Rafik Belghali,DF,4,2,0,0,0,0
298,8,Deroy Duarte,MF,4,1,0,0,0,0
74,44,Ali Abdi,DF,4,2,0,0,0,0
544,22,Jean Ricner Bellegarde,MF,4,5,1,0,0,0
1144,40,Thapelo Maseko,FW,4,10,0,0,0,0
297,9,Derek Cornelius,DF,4,3,1,0,0,0
679,39,Krepin Diatta,DF,4,6,0,0,0,0
970,39,Pape Gueye,MF,4,2,1,0,0,0
1000,9,Promise David,FW,4,2,0,0,0,0
939,29,Noussair Mazraoui,DF,4,6,0,0,0,0
1063,39,Sadio Mane,FW,4,10,0,0,0,3
1143,40,Thalente Mbatha,MF,4,0,1,0,0,0
458,44,Hannibal Mejbri,MF,4,15,0,0,0,0
510,29,Issa Diop,DF,4,1,3,0,0,0
664,40,Khuliso Mudau,DF,4,10,0,0,0,1
145,40,Aubrey Modiba,DF,4,6,1,0,0,2
1113,29,Sofyan Amrabat,MF,4,2,0,0,0,0
1210,44,Yan Valery,DF,4,1,0,0,0,1
999,21,Prince Adu,FW,4,0,0,0,0,0
715,14,Livano Comenencia,MF,4,1,1,0,0,0
630,14,Jurien Gaari,DF,4,1,1,0,0,0
653,6,Kerim Alajbegovic,FW,4,6,0,0,0,1
925,6,Nikola Katic,DF,4,0,1,0,0,0
826,19,Michael Olise,FW,4,16,1,0,0,0
1188,35,Vitinha,MF,4,5,0,0,0,0
989,35,Pedro Neto,FW,4,3,0,0,0,0
1200,19,William Saliba,DF,4,0,0,0,0,0
807,19,Maxence Lacroix,DF,4,0,0,0,0,1
533,30,Jan Paul Van Hecke,DF,4,2,0,0,0,0
198,30,Brian Brobbey,FW,4,3,0,0,0,2
148,19,Aurelien Tchouameni,MF,4,3,1,0,0,0
696,5,Leandro Trossard,FW,4,8,0,0,0,1
551,5,Jeremy Doku,FW,4,18,0,0,0,0
900,20,Nathaniel Brown,DF,4,1,0,0,0,0
734,13,Luka Modric,MF,4,3,1,0,0,0
205,18,Bukayo Saka,FW,4,7,0,0,0,3
984,4,Paul Wanner,MF,4,1,0,0,0,0
977,32,Patrick Berg,MF,4,2,1,0,0,0
513,13,Ivan Perisic,FW,4,1,2,0,0,0
123,18,Anthony Gordon,FW,4,10,0,0,0,0
492,13,Igor Matanovic,FW,4,3,0,0,0,1
599,33,Jose Fajardo,FW,4,3,1,0,0,1
929,16,Nilson Angulo,FW,4,3,0,0,0,0
1186,7,Vinicius Junior,FW,4,10,0,0,0,3
911,2,Nico Gonzalez,MF,4,2,0,0,0,1
374,7,Fabinho,MF,4,0,1,0,0,0
352,16,Enner Valencia,FW,4,7,0,0,0,2
227,28,Cesar Montes,DF,4,4,0,1,0,0
204,7,Bruno Guimaraes,MF,4,7,0,0,0,0
410,7,Gabriel Martinelli,FW,4,4,0,0,0,0
600,33,Jose Luis Rodriguez,MF,4,2,0,0,0,0
922,2,Nicolas Tagliafico,DF,4,13,0,0,0,2
128,46,Antonee Robinson,DF,4,1,1,0,0,0
110,33,Andres Andrade,DF,4,0,1,0,0,0
