player_id,team_id,player_name,position,passes,passes completed,passing_accuracy,crosses,crossing_accuracy,take ons completed,defensive_linebreaks_attempted,defensive_linebreaks_accuracy,switches_of_play_attempted,switches_of_play_accuracy
1039,41,Rodri,MF,694,648,93,3,0,1,16,94,5,80
157,41,Aymeric Laporte,DF,568,533,94,0,0,0,10,60,7,100
981,41,Pau Cubarsi,DF,566,547,97,1,0,0,6,67,1,100
695,2,Leandro Paredes,MF,521,496,95,2,50,1,5,60,6,100
353,2,Enzo Fernandez,MF,483,448,93,5,40,5,20,75,8,88
753,43,Manuel Akanji,DF,479,444,93,0,0,0,8,88,8,100
437,43,Granit Xhaka,MF,470,427,91,4,0,2,15,47,8,100
758,18,Marc Guehi,DF,455,442,97,0,0,2,8,88,4,75
18,29,Achraf Hakimi,DF,449,402,90,38,32,11,7,86,6,83
370,18,Ezri Konsa,DF,440,423,96,3,0,1,3,100,3,67
910,43,Nico Elvedi,DF,438,406,93,0,0,3,2,50,5,100
342,18,Elliot Anderson,MF,434,385,89,6,50,1,17,71,10,90
903,29,Neil El Aynaoui,MF,433,405,94,0,0,1,3,0,3,67
409,7,Gabriel Magalhaes,DF,431,413,96,0,0,0,2,50,2,100
284,19,Dayot Upamecano,DF,429,396,92,0,0,2,6,67,4,100
1080,32,Sander Berge,MF,425,412,97,2,0,1,4,75,2,100
714,2,Lisandro Martinez,DF,424,401,95,3,0,2,9,67,1,100
987,41,Pedri,MF,410,364,89,14,36,2,14,71,2,100
1188,35,Vitinha,MF,403,379,94,0,0,2,7,71,11,100
69,2,Alexis Mac Allister,MF,400,368,92,1,0,1,2,0,3,100
193,5,Brandon Mechele,DF,399,369,92,0,0,1,4,50,2,100
757,41,Marc Cucurella,DF,389,358,92,13,23,1,12,50,2,100
253,2,Cristian Romero,DF,389,378,97,0,0,3,1,0,0,0
1009,1,Ramy Bensebaini,DF,385,359,93,0,0,1,8,38,1,100
38,1,Aissa Mandi,DF,382,357,93,0,0,0,5,20,10,90
777,7,Marquinhos,DF,380,367,97,1,100,0,4,75,6,100
584,20,Jonathan Tah,DF,375,364,97,1,0,1,3,100,1,100
606,20,Joshua Kimmich,DF,368,336,91,25,20,1,9,56,2,100
782,32,Martin Odegaard,MF,367,322,88,16,19,3,18,56,0,0
282,10,Davinson Sanchez,DF,361,324,90,0,0,1,10,20,6,100
533,30,Jan Paul Van Hecke,DF,360,335,93,1,0,1,5,60,4,75
826,19,Michael Olise,FW,360,311,86,20,25,16,26,73,2,100
756,17,Marawan Attia,MF,357,313,88,8,38,0,15,47,8,100
621,19,Jules Kounde,DF,349,310,89,15,13,0,7,43,0,0
1187,30,Virgil Van Dijk,DF,347,330,95,0,0,1,1,100,1,100
1024,35,Renato Veiga,DF,336,320,95,0,0,1,4,50,1,100
712,2,Lionel Messi,FW,332,261,79,41,41,22,32,63,5,80
510,29,Issa Diop,DF,326,299,92,0,0,0,3,0,1,100
1023,43,Remo Freuler,MF,324,299,92,5,20,0,7,71,2,0
1200,19,William Saliba,DF,315,307,97,0,0,1,1,0,2,100
167,29,Azzedine Ounahi,MF,315,281,89,6,33,8,17,65,3,100
24,19,Adrien Rabiot,MF,311,286,92,2,0,2,11,73,1,100
990,41,Pedro Porro,DF,305,274,90,16,31,3,12,33,7,100
1166,32,Torbjorn Heggem,DF,301,282,94,0,0,1,4,25,0,0
1042,2,Rodrigo De Paul,MF,298,274,92,12,42,2,9,67,1,100
1155,46,Tim Ream,DF,298,281,94,0,0,2,6,33,5,100
991,16,Pedro Vite,MF,297,269,91,7,43,1,9,56,2,100
869,16,Moises Caicedo,MF,295,264,89,16,44,0,13,54,3,100
1028,43,Ricardo Rodriguez,DF,295,243,82,17,18,1,24,33,4,50
269,7,Danilo,DF,294,262,89,7,29,1,6,50,1,100
240,46,Chris Richards,DF,291,277,95,0,0,0,2,0,2,100
448,10,Gustavo Puerta,DF,290,264,91,2,0,4,4,50,3,67
882,39,Moussa Niakhate,DF,290,271,93,2,50,0,1,100,4,75
558,10,Jhon Lucumi,DF,285,262,92,0,0,1,6,17,12,100
54,46,Alex Freeman,DF,283,256,90,4,0,13,9,67,4,75
679,39,Krepin Diatta,DF,283,255,90,10,40,6,4,75,1,100
849,17,Mohamed Hany,DF,282,245,87,17,24,4,9,56,1,100
941,35,Nuno Mendes,DF,282,239,85,21,29,8,17,53,4,100
1122,9,Stephen Eustaquio,MF,281,244,87,42,38,2,15,60,3,100
496,40,Ime Okon,DF,280,257,92,0,0,0,2,50,2,50
888,1,Nabil Bentaleb,MF,280,255,91,1,0,0,3,67,1,0
203,35,Bruno Fernandes,MF,278,239,86,22,23,3,20,65,10,90
939,29,Noussair Mazraoui,DF,275,251,91,4,0,5,5,40,0,0
317,7,Douglas Santos,DF,275,256,93,6,17,0,5,60,0,0
546,10,Jefferson Lerma,MF,274,242,88,2,50,1,2,0,1,100
682,32,Kristoffer Ajer,DF,273,256,94,2,100,3,1,100,0,0
396,20,Florian Wirtz,MF,271,223,82,12,42,14,15,67,2,100
491,39,Idrissa Gana Gueye,MF,270,243,90,1,0,0,8,63,5,100
1179,41,Unai Simon,GK,269,219,81,0,0,0,3,33,2,100
964,19,Ousmane Dembele,FW,268,214,80,35,17,9,26,62,6,83
608,13,Josip Sutalo,DF,267,241,90,0,0,3,4,0,7,71
723,19,Lucas Digne,DF,267,237,89,16,6,0,8,50,1,100
588,18,Jordan Pickford,GK,265,190,72,0,0,0,12,42,3,33
162,29,Ayyoub Bouaddi,MF,264,237,90,0,0,6,1,100,1,100
1156,5,Timothy Castagne,DF,263,230,87,20,35,1,8,75,2,50
752,19,Manu Kone,MF,263,242,92,1,0,2,3,100,2,50
565,35,Joao Neves,MF,261,247,95,2,50,3,9,56,3,67
49,20,Aleksandar Pavlovic,MF,260,240,92,1,0,1,1,0,1,100
1214,17,Yasser Ibrahim,DF,260,239,92,0,0,2,1,0,1,100
1224,5,Youri Tielemans,MF,255,221,87,14,21,3,10,50,5,60
439,43,Gregor Kobel,GK,255,190,75,0,0,0,6,0,2,50
148,19,Aurelien Tchouameni,MF,254,239,94,2,0,0,1,100,2,100
1052,35,Ruben Dias,DF,249,233,94,0,0,1,6,33,1,100
892,2,Nahuel Molina,DF,249,215,86,6,0,1,5,40,1,100
286,18,Declan Rice,MF,248,225,91,36,33,2,10,50,4,75
734,13,Luka Modric,MF,248,225,91,9,44,2,9,44,2,100
130,20,Antonio Ruediger,DF,246,230,93,1,0,0,4,25,0,0
809,5,Maxim De Cuyper,DF,246,203,83,16,25,3,9,44,2,100
373,41,Fabian Ruiz,MF,246,220,89,7,29,0,11,64,3,100
1010,17,Ramy Rabia,DF,244,224,92,0,0,0,2,50,8,50
378,1,Fares Chaibi,MF,244,220,90,7,0,3,10,50,3,100
406,30,Frenkie De Jong,MF,243,224,92,0,0,1,5,80,2,100
13,45,Abdulkerim Bardakci,DF,242,222,92,6,33,1,3,33,5,60
89,9,Alistair Johnston,DF,240,184,77,24,25,3,17,53,2,100
556,10,Jhon Arias,MF,240,227,95,6,17,6,7,71,3,100
1201,16,Willian Pacho,DF,238,217,91,0,0,1,2,0,0,0
184,29,Bilal El Khannouss,MF,238,186,78,14,14,6,23,65,2,100
1048,40,Ronwen Williams,GK,237,179,76,0,0,0,7,29,3,67
526,10,James Rodriguez,MF,237,199,84,17,29,2,14,50,9,67
575,28,Johan Vasquez,DF,237,221,93,0,0,0,4,50,1,100
698,27,Lee Gihyuk,MF,236,217,92,4,0,1,3,0,4,100
1172,46,Tyler Adams,MF,231,211,91,0,0,0,6,67,1,100
920,5,Nicolas Raskin,MF,230,197,86,8,38,0,8,0,1,100
794,47,Mathias Olivera,DF,226,213,94,3,0,1,6,50,3,100
668,27,Kim Minjae,DF,226,221,98,0,0,1,0,0,0,0
230,29,Chadi Riad,DF,226,212,94,0,0,1,1,0,1,100
220,7,Casemiro,MF,224,200,89,4,25,1,8,50,4,100
274,4,David Alaba,DF,222,198,89,1,0,0,5,80,1,0
619,18,Jude Bellingham,MF,221,185,84,9,11,12,20,45,5,100
128,46,Antonee Robinson,DF,221,181,82,18,22,10,13,46,2,50
50,3,Alessandro Circati,DF,221,177,80,1,0,1,10,60,4,75
1195,46,Weston Mckennie,MF,220,173,79,11,27,6,27,74,4,75
896,5,Nathan Ngoy,DF,219,205,94,0,0,0,4,25,4,100
483,27,Hwang Inbeom,MF,218,193,89,3,67,1,5,80,2,100
912,18,Nico Oreilly,DF,216,200,93,6,50,4,6,67,2,100
267,10,Daniel Munoz,DF,213,194,91,9,22,0,5,20,0,0
812,40,Mbekezeli Mbokazi,DF,213,185,87,2,0,2,7,57,3,67
689,41,Lamine Yamal,FW,212,181,85,35,20,30,32,72,3,100
1216,29,Yassine Bounou,GK,211,142,67,0,0,0,9,0,0,0
348,2,Emiliano Martinez,GK,211,161,76,0,0,0,8,25,0,0
1016,1,Rayan Ait Nouri,DF,211,190,90,9,0,12,7,57,0,0
833,19,Mike Maignan,GK,210,164,78,0,0,0,3,33,1,100
789,13,Mateo Kovacic,MF,208,198,95,0,0,2,3,67,2,100
347,17,Emam Ashour,MF,207,176,85,3,0,3,7,57,3,100
444,42,Gustaf Lagerbielke,DF,206,173,84,1,0,1,7,57,1,100
955,32,Orjan Nyland,GK,204,138,68,0,0,0,6,0,2,50
