rank,team_id,fouls_against,fouls_for,yellow_cards,red_cards,indirect_red_cards,offsides
1,2,88,79,9,0,0,21
2,43,87,89,8,1,1,13
3,41,80,66,6,0,0,17
4,5,78,68,6,1,0,8
5,29,74,88,7,0,0,9
6,18,73,102,8,1,0,12
7,9,72,71,11,0,0,7
8,19,70,66,6,0,0,11
8,10,70,64,8,0,0,19
10,34,66,61,9,1,0,5
11,17,59,67,12,0,0,4
11,6,59,37,7,1,0,2
13,32,58,41,3,0,0,5
13,28,58,48,4,1,0,5
15,21,56,47,6,0,0,8
15,46,56,64,7,1,0,11
17,25,55,31,4,0,0,4
17,22,55,43,7,0,0,7
19,7,51,54,8,0,0,11
19,20,51,42,3,0,0,4
21,16,49,37,8,1,0,2
22,4,47,27,5,0,0,11
23,3,46,38,5,0,0,1
23,33,46,33,5,0,0,6
25,13,45,46,4,0,0,8
25,48,45,29,4,0,0,3
27,11,44,44,6,0,0,9
27,35,44,58,7,0,0,10
27,30,44,43,3,0,0,8
30,42,43,50,5,0,0,9
31,38,42,39,5,0,0,2
32,40,38,46,5,2,0,8
33,15,37,31,1,0,0,5
34,39,36,48,3,0,0,10
34,36,36,28,4,2,0,4
36,24,35,23,6,0,0,9
37,31,32,23,4,0,0,4
37,14,32,31,7,0,0,5
39,47,31,29,5,1,0,14
39,26,31,23,4,0,0,3
39,45,31,38,2,0,0,7
42,1,29,40,3,0,0,4
42,12,29,36,4,0,0,4
42,37,29,26,6,0,0,3
45,44,27,34,1,0,0,9
45,8,27,47,5,0,0,7
45,23,27,31,4,1,0,1
48,27,25,32,4,0,0,8
