player_id,team_id,assists,attempts_on_target,attempts_at_goal,attempts_at_goal_conv_rate,attempts_inside_penalty,attempts_outside_penalty,headed_attempts_at_goal,xg,xg_efficiency,corners
826,19,5,5,17,0,8,9,0,1.84,0x,24
782,32,4,3,9,0,5,4,0,0.72,0x,12
190,29,4,1,6,0,4,2,0,0.31,0x,1
712,2,4,19,34,24,16,18,0,6.16,1.3x,34
204,7,4,2,8,0,5,3,1,1.02,0x,8
1034,28,3,0,5,0,2,3,0,0.28,0x,14
123,18,3,4,6,17,6,0,2,0.7,1.43x,0
685,19,3,19,33,24,21,12,0,5.37,1.49x,4
205,18,3,3,8,0,7,1,1,0.5,0x,4
108,32,3,2,3,33,3,0,0,0.2,5.12x,0
396,20,3,1,10,0,5,5,0,0.97,0x,5
61,42,3,6,8,13,5,3,1,0.68,1.48x,0
757,41,2,3,4,0,3,1,1,0.3,0x,0
265,41,2,1,11,0,6,5,1,0.76,0x,0
573,43,2,3,6,50,4,2,0,0.63,4.73x,0
1184,42,2,6,12,8,9,3,0,1.39,0.72x,0
241,31,2,2,5,0,3,2,2,0.47,0x,0
195,43,2,5,10,20,8,2,2,2.58,0.78x,0
920,5,2,1,2,0,2,0,1,0.13,0x,0
293,20,2,4,6,50,5,1,0,1.43,2.1x,0
459,5,2,1,5,20,4,1,0,0.64,1.56x,0
1059,30,2,0,5,0,2,3,0,0.25,0x,0
964,19,2,8,18,28,11,7,1,1.6,3.13x,17
296,30,2,2,5,0,4,1,2,0.44,0x,0
606,20,2,1,5,0,1,4,0,0.15,0x,15
256,30,2,2,2,100,1,1,0,0.16,12.33x,3
977,32,2,0,3,0,0,3,0,0.29,0x,10
696,5,2,4,17,12,10,7,0,1.67,1.2x,0
478,1,2,1,3,0,1,2,0,0.24,0x,0
625,34,2,1,8,13,6,2,1,0.74,1.36x,2
898,9,2,1,3,33,1,2,1,0.3,3.36x,0
18,29,2,4,14,7,6,8,0,0.96,1.04x,21
458,44,2,1,3,0,0,3,0,0.06,0x,4
853,17,2,4,9,11,7,2,1,0.95,1.05x,15
495,39,2,2,3,33,2,1,0,0.21,4.76x,0
849,17,1,0,4,0,0,4,0,0.09,0x,0
878,17,1,3,8,25,7,1,2,1.1,1.82x,0
1197,12,1,0,2,0,2,0,0,0.14,0x,0
1063,39,1,3,6,0,4,2,0,0.58,0x,1
364,21,1,0,0,0,0,0,0,0,0x,0
230,29,1,0,1,0,1,0,1,0.12,0x,0
1000,9,1,3,5,20,3,2,1,0.75,1.34x,0
882,39,1,0,1,0,1,0,1,0.06,0x,0
541,22,1,0,1,0,1,0,0,0.03,0x,0
917,39,1,3,7,0,6,1,2,0.56,0x,0
508,39,1,6,17,24,15,2,2,3.68,1.09x,0
919,12,1,3,6,33,5,1,0,1.42,1.41x,6
1118,29,1,4,6,33,5,1,2,1.59,1.26x,0
235,29,1,0,2,0,1,1,0,0.05,0x,0
452,17,1,0,1,0,1,0,0,0.09,0x,0
688,39,1,0,3,0,0,3,0,0.14,0x,5
7,39,1,0,2,0,1,1,1,0.05,0x,0
640,17,1,0,1,0,0,1,0,0.01,0x,0
1209,12,1,0,4,0,3,1,1,0.26,0x,11
1170,40,1,0,0,0,0,0,0,0,0x,0
1169,17,1,3,8,13,6,2,3,0.71,1.4x,0
970,39,1,3,8,25,1,7,0,0.37,5.4x,0
756,17,1,1,4,0,1,3,0,0.05,0x,0
1212,8,1,0,1,0,0,1,0,0.01,0x,2
194,21,1,0,0,0,0,0,0,0,0x,0
489,12,1,0,1,0,0,1,0,0,0x,0
483,27,1,2,4,25,2,2,0,0.37,2.74x,0
1033,1,1,3,6,33,4,2,0,1.49,1.34x,5
1133,25,1,0,1,0,0,1,0,0.01,0x,0
101,23,1,0,0,0,0,0,0,0,0x,3
1060,8,1,0,6,0,3,3,0,0.07,0x,0
154,25,1,4,9,22,5,4,2,0.63,3.15x,0
1032,25,1,0,1,0,0,1,0,0.02,0x,1
139,11,1,0,0,0,0,0,0,0,0x,6
