player_id,team_id,own_goals,forced_turnovers,defensive_pressures_applied,defensive_pressures_directly_applied
849,17,2,10,90,11
1216,29,1,0,0,0
344,44,1,10,40,10
262,34,1,5,95,22
745,36,1,0,0,0
464,37,1,5,26,7
852,36,1,2,52,3
1218,26,1,10,28,16
156,23,1,5,60,3
305,8,1,5,29,16
840,43,1,3,16,1
210,3,1,2,14,9
17,48,1,0,0,0
554,31,0,3,15,2
243,43,0,0,8,2
1055,43,0,14,94,19
355,43,0,1,9,1
134,43,0,3,33,4
785,43,0,0,0,0
147,43,0,0,0,0
264,43,0,32,141,20
1235,43,0,3,49,8
573,43,0,14,102,13
720,43,0,3,15,4
439,43,0,0,0,0
632,45,0,0,1,1
224,43,0,4,27,6
820,45,0,0,0,0
454,45,0,11,28,5
372,43,0,19,210,30
1071,45,0,5,33,12
206,45,0,0,1,1
830,43,0,8,52,6
1229,45,0,3,12,4
309,43,0,8,54,5
968,45,0,3,10,7
821,45,0,1,10,5
753,43,0,15,44,21
1236,45,0,5,35,9
956,45,0,7,37,9
1231,43,0,0,0,0
819,45,0,3,9,3
1023,43,0,27,193,31
92,45,0,0,0,0
1177,45,0,0,0,0
291,43,0,19,63,23
652,45,0,10,38,2
499,45,0,0,4,1
910,43,0,8,48,12
356,45,0,4,26,3
195,43,0,40,177,25
1074,45,0,0,0,0
13,45,0,3,27,12
1109,43,0,11,59,13
133,45,0,12,62,7
507,45,0,16,34,13
1028,43,0,24,60,16
647,45,0,7,32,5
437,43,0,28,116,18
386,45,0,0,16,7
172,45,0,24,37,5
343,42,0,9,61,7
213,45,0,4,9,3
946,45,0,3,24,9
469,42,0,0,0,0
292,45,0,0,5,0
1129,42,0,4,15,0
792,3,0,2,30,4
982,3,0,0,0,0
183,42,0,3,35,7
839,3,0,0,0,0
537,3,0,1,21,3
180,42,0,4,71,13
793,3,0,0,0,0
60,42,0,14,81,9
164,3,0,9,55,7
518,3,0,7,80,11
359,42,0,0,0,0
39,3,0,5,40,2
268,42,0,8,24,3
151,3,0,1,20,0
445,42,0,0,3,0
586,3,0,23,84,21
211,3,0,0,0,0
722,42,0,10,60,13
35,3,0,25,105,15
462,3,0,4,18,6
1213,42,0,21,100,22
520,3,0,6,83,14
249,3,0,28,180,11
522,42,0,0,0,0
50,3,0,12,48,28
1184,42,0,14,75,4
254,3,0,11,64,4
905,3,0,13,116,3
473,42,0,0,0,0
930,3,0,1,57,4
634,3,0,7,22,4
500,42,0,13,13,8
976,3,0,0,0,0
444,42,0,8,50,14
983,3,0,9,78,5
854,3,0,3,86,5
408,42,0,13,58,14
725,3,0,4,11,4
1140,3,0,1,17,2
1185,42,0,0,0,0
824,31,0,4,21,12
122,42,0,10,31,1
677,31,0,0,0,0
241,31,0,8,88,5
553,42,0,7,38,7
1154,31,0,5,57,9
215,42,0,0,0,0
1061,31,0,2,50,7
803,42,0,0,5,1
806,31,0,0,0,0
57,31,0,0,0,0
61,42,0,5,110,15
569,31,0,27,98,22
209,31,0,9,55,11
646,42,0,2,5,2
717,31,0,0,0,0
1182,42,0,5,24,10
1086,31,0,10,104,7
828,31,0,0,0,0
683,42,0,0,0,0
340,31,0,19,152,18
711,31,0,9,59,8
1183,41,0,0,0,0
759,41,0,0,0,0
208,31,0,0,4,1
893,31,0,0,0,0
562,41,0,0,0,0
178,31,0,0,0,0
689,41,0,17,116,24
56,31,0,0,0,0
177,31,0,2,28,4
981,41,0,11,28,11
776,31,0,10,67,18
398,31,0,1,5,1
416,41,0,4,33,8
391,31,0,5,28,11
185,41,0,0,4,0
1173,31,0,4,13,4
686,31,0,0,0,0
53,41,0,22,131,21
1190,15,0,10,34,1
915,41,0,7,33,1
927,6,0,0,0,0
980,15,0,7,74,4
1163,15,0,4,42,5
280,41,0,0,0,0
829,15,0,10,75,4
22,15,0,6,92,7
784,41,0,0,0,0
281,15,0,0,4,1
1179,41,0,0,0,0
559,15,0,0,0,0
536,15,0,6,36,3
836,41,0,53,236,13
1161,15,0,8,37,7
687,15,0,2,30,10
265,41,0,30,240,23
532,15,0,0,0,0
757,41,0,18,98,22
1189,15,0,5,49,10
275,15,0,1,23,0
835,41,0,20,85,8
1160,15,0,0,14,1
373,41,0,7,67,6
276,15,0,0,0,0
871,15,0,1,4,1
990,41,0,22,64,16
739,15,0,9,49,5
787,15,0,0,0,0
1221,41,0,3,28,7
1035,15,0,15,37,15
987,41,0,48,224,33
737,15,0,6,27,11
985,15,0,6,104,12
1039,41,0,40,100,34
479,15,0,0,0,0
738,15,0,0,0,0
358,41,0,0,0,0
1121,15,0,1,22,15
388,41,0,8,80,11
290,15,0,4,20,0
66,15,0,18,84,9
55,41,0,0,0,0
531,48,0,0,4,0
493,48,0,0,21,2
764,41,0,12,43,12
944,48,0,7,39,6
962,48,0,5,96,12
157,41,0,21,31,3
316,48,0,9,74,6
1174,38,0,0,0,0
1057,48,0,17,32,9
380,48,0,1,5,0
390,38,0,1,12,0
186,48,0,0,0,0
337,48,0,28,96,11
418,38,0,0,0,0
1102,48,0,0,2,0
176,38,0,13,71,6
523,48,0,2,9,5
8,48,0,11,23,8
311,38,0,0,0,0
4,48,0,17,137,27
175,48,0,5,55,7
650,38,0,4,31,6
14,48,0,7,22,7
693,38,0,4,61,9
1103,48,0,5,42,9
1180,48,0,0,0,0
708,38,0,15,87,28
663,48,0,4,76,11
960,48,0,4,41,1
1051,38,0,0,5,0
1178,48,0,0,0,0
1089,38,0,3,3,3
166,48,0,6,79,11
41,48,0,5,83,8
577,38,0,0,0,0
165,48,0,1,4,0
709,38,0,0,0,0
