player_id,team_id,goalkeeper_saves,goalkeeper_action_inside_penalty_area,goalkeeper_action_outside_penalty_area
957,34,28,141,124
345,14,21,81,72
439,43,20,100,88
306,35,20,114,93
588,18,19,133,110
1216,29,19,112,91
1191,8,18,136,102
1240,25,17,78,64
863,37,17,86,78
173,30,17,57,54
955,32,17,107,93
1150,5,17,110,90
745,36,16,124,103
86,24,15,75,65
713,11,15,83,70
64,4,15,85,74
88,7,15,67,59
877,17,14,119,105
1048,40,14,72,59
976,3,14,91,76
1179,41,14,108,84
580,22,13,56,48
470,16,12,68,63
522,42,12,54,46
313,13,12,80,68
833,19,11,80,64
1207,12,11,84,68
670,27,11,42,34
787,15,11,60,52
806,31,11,97,88
800,46,10,58,48
958,33,9,48,42
348,2,9,87,73
117,38,9,75,64
721,1,9,34,32
1219,26,8,70,56
331,39,8,34,25
692,21,8,31,30
179,21,8,55,47
1177,45,8,55,46
927,6,8,92,70
1014,28,8,57,46
212,10,7,57,54
524,23,7,51,45
754,20,7,61,45
810,9,7,49,40
155,44,6,51,44
876,39,5,53,45
333,32,5,25,22
17,48,5,55,44
683,42,4,22,20
387,47,4,41,34
29,23,3,43,36
1096,5,2,7,5
1180,48,1,27,21
880,44,1,26,20
604,21,0,0,0
283,9,0,0,0
611,22,0,0,0
34,29,0,0,0
1220,39,0,0,0
847,17,0,0,0
1026,40,0,0,0
1112,40,0,0,0
967,9,0,0,0
744,17,0,0,0
851,12,0,0,0
1062,44,0,0,0
67,22,0,0,0
46,12,0,0,0
885,29,0,0,0
843,17,0,0,0
516,13,0,0,0
312,13,0,0,0
603,35,0,0,0
1056,35,0,0,0
771,30,0,0,0
250,38,0,0,0
948,20,0,0,0
395,4,0,0,0
202,19,0,0,0
978,4,0,0,0
834,5,0,0,0
1036,19,0,0,0
527,18,0,0,0
1037,30,0,0,0
285,18,0,0,0
62,20,0,0,0
1081,32,0,0,0
841,6,0,0,0
783,6,0,0,0
1176,14,0,0,0
1168,14,0,0,0
239,46,0,0,0
870,16,0,0,0
1085,47,0,0,0
1196,7,0,0,0
415,34,0,0,0
442,28,0,3,3
1099,47,0,7,5
324,7,0,0,0
616,2,0,0,0
730,33,0,0,0
94,10,0,0,0
436,16,0,0,0
419,2,0,0,0
801,46,0,21,17
414,34,0,0,0
228,33,0,0,0
278,10,0,0,0
217,28,0,0,0
1231,43,0,0,0
559,15,0,0,0
982,3,0,0,0
738,15,0,0,0
828,31,0,0,0
1185,42,0,0,0
186,48,0,0,0
785,43,0,0,0
562,41,0,0,0
793,3,0,0,0
280,41,0,0,0
56,31,0,0,0
92,45,0,0,0
820,45,0,0,0
709,38,0,0,0
823,36,0,0,0
5,26,0,0,0
1157,11,0,0,0
1164,25,0,0,0
1116,27,0,0,0
986,24,0,0,0
476,24,0,0,0
561,27,0,0,0
643,25,0,0,0
816,1,0,0,0
761,8,0,0,0
28,37,0,0,0
377,23,0,0,0
802,11,0,0,0
247,8,0,0,0
938,26,0,0,0
966,1,0,14,13
901,37,0,0,0
1066,36,0,0,0
