team_id,distribution_passes,passes_completed,passing_accuracy,crosses,crossing_acuracy,take_ons_completed,defensive_linebreaks_attempted,defensie_linebreaks_accuracy,switches_of_play_attempted,switches_of_play_acc
2,4772,4324,91,102,33,50,122,60,34,94
41,4592,4156,91,154,21,61,175,65,40,95
19,3865,3452,89,121,16,80,151,64,36,92
29,3665,3240,88,99,24,66,110,52,26,85
18,3479,3098,89,162,26,70,182,65,43,79
43,3231,2798,87,122,16,40,152,47,34,82
32,3114,2727,88,87,29,45,95,42,16,69
5,3081,2653,86,133,28,68,138,51,30,77
35,2946,2654,90,94,27,58,123,54,42,81
10,2789,2437,87,82,27,33,98,43,56,91
7,2742,2462,90,89,24,44,107,55,24,96
20,2721,2436,90,108,22,44,81,56,14,71
17,2654,2304,87,83,20,40,112,53,41,90
1,2641,2382,90,39,21,48,76,55,30,93
46,2606,2254,86,90,26,65,140,60,27,81
39,2248,1978,88,90,28,38,98,57,31,90
28,2175,1902,87,91,26,27,89,42,28,89
9,2098,1722,82,158,24,32,119,55,18,83
30,2039,1797,88,79,27,29,78,60,11,82
16,1985,1717,86,88,25,42,93,44,10,90
12,1970,1727,88,78,24,52,85,53,13,92
13,1901,1661,87,66,21,34,77,51,22,82
40,1855,1573,85,36,17,21,63,41,27,85
27,1853,1650,89,64,28,23,65,60,21,86
45,1844,1610,87,84,14,37,75,60,30,73
4,1827,1561,85,62,23,15,72,58,8,75
25,1733,1497,86,62,26,24,74,47,12,67
3,1647,1336,81,70,27,39,76,47,21,62
6,1618,1317,81,59,17,32,53,43,17,76
42,1569,1293,82,62,19,28,75,45,13,85
8,1555,1272,82,51,27,40,58,34,22,64
11,1470,1195,81,64,22,25,70,36,18,78
47,1445,1251,87,87,21,20,74,64,19,95
21,1397,1172,84,48,21,31,61,43,23,78
38,1377,1193,87,53,34,13,45,40,17,71
34,1360,945,69,47,17,30,71,25,18,83
31,1335,1112,83,37,19,22,54,22,8,75
33,1259,1039,83,58,21,25,54,43,27,70
37,1175,922,78,22,23,19,53,40,12,67
23,1129,917,81,24,29,22,48,44,14,79
15,1102,872,79,50,32,19,45,38,12,75
22,1098,928,85,42,24,22,42,40,13,100
48,1059,828,78,34,18,26,51,27,17,76
24,1051,814,77,40,23,19,50,46,14,79
44,1011,812,80,35,23,11,40,38,21,71
14,968,770,80,21,29,31,40,40,7,100
26,914,694,76,31,32,33,52,52,11,73
36,912,708,78,28,36,12,71,27,11,91
